Rank,Title,Year
1.,The Shawshank Redemption,1994
2.,The Godfather,1972
3.,The Dark Knight,2008
4.,The Godfather Part II,1974
5.,12 Angry Men,1957
6.,Schindler's List,1993
7.,The Lord of the Rings: The Return of the King,2003
8.,Pulp Fiction,1994
9.,The Lord of the Rings: The Fellowship of the Ring,2001
10.,"Il buono, il brutto, il cattivo",1966
11.,Forrest Gump,1994
12.,Fight Club,1999
13.,Inception,2010
14.,The Lord of the Rings: The Two Towers,2002
15.,The Empire Strikes Back,1980
16.,The Matrix,1999
17.,Goodfellas,1990
18.,One Flew Over the Cuckoo's Nest,1975
19.,Se7en,1995
20.,Shichinin no samurai,1954
21.,It's a Wonderful Life,1946
22.,The Silence of the Lambs,1991
23.,Cidade de Deus,2002
24.,Saving Private Ryan,1998
25.,La vita è bella,1997
26.,The Green Mile,1999
27.,Interstellar,2014
28.,Star Wars,1977
29.,Terminator 2: Judgment Day,1991
30.,Back to the Future,1985
31.,Sen to Chihiro no kamikakushi,2001
32.,Psycho,1960
33.,The Pianist,2002
34.,Léon,1994
35.,Gisaengchung,2019
36.,The Lion King,1994
37.,Gladiator,2000
38.,American History X,1998
39.,The Usual Suspects,1995
40.,The Departed,2006
41.,The Prestige,2006
42.,Casablanca,1942
43.,Top Gun: Maverick,2022
44.,Whiplash,2014
45.,The Intouchables,2011
46.,Modern Times,1936
47.,Seppuku,1962
48.,Once Upon a Time in the West,1968
49.,Hotaru no haka,1988
50.,Rear Window,1954
51.,Alien,1979
52.,City Lights,1931
53.,Nuovo Cinema Paradiso,1988
54.,Memento,2000
55.,Apocalypse Now,1979
56.,Raiders of the Lost Ark,1981
57.,Django Unchained,2012
58.,WALL·E,2008
59.,The Lives of Others,2006
60.,Sunset Blvd.,1950
61.,Paths of Glory,1957
62.,The Shining,1980
63.,The Great Dictator,1940
64.,Witness for the Prosecution,1957
65.,Avengers: Infinity War,2018
66.,Aliens,1986
67.,American Beauty,1999
68.,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
69.,Spider-Man: Into the Spider-Verse,2018
70.,The Dark Knight Rises,2012
71.,Joker,2019
72.,Oldeuboi,2003
73.,Braveheart,1995
74.,Amadeus,1984
75.,Toy Story,1995
76.,Coco,2017
77.,Das Boot,1981
78.,Inglourious Basterds,2009
79.,Mononoke-hime,1997
80.,Avengers: Endgame,2019
81.,Once Upon a Time in America,1984
82.,Good Will Hunting,1997
83.,Requiem for a Dream,2000
84.,Toy Story 3,2010
85.,Kimi no na wa.,2016
86.,Singin' in the Rain,1952
87.,3 Idiots,2009
88.,Star Wars: Episode VI - Return of the Jedi,1983
89.,2001: A Space Odyssey,1968
90.,Eternal Sunshine of the Spotless Mind,2004
91.,Reservoir Dogs,1992
92.,Tengoku to jigoku,1963
93.,Capharnaüm,2018
94.,Citizen Kane,1941
95.,Lawrence of Arabia,1962
96.,Jagten,2012
97.,North by Northwest,1959
98.,M - Eine Stadt sucht einen Mörder,1931
99.,Vertigo,1958
100.,Le fabuleux destin d'Amélie Poulain,2001
101.,A Clockwork Orange,1971
102.,Idi i smotri,1985
103.,Full Metal Jacket,1987
104.,Double Indemnity,1944
105.,The Apartment,1960
106.,Scarface,1983
107.,Ikiru,1952
108.,The Sting,1973
109.,To Kill a Mockingbird,1962
110.,Taxi Driver,1976
111.,L.A. Confidential,1997
112.,Up,2009
113.,Heat,1995
114.,Hamilton,2020
115.,Metropolis,1927
116.,Jodaeiye Nader az Simin,2011
117.,Snatch,2000
118.,Die Hard,1988
119.,Incendies,2010
120.,Indiana Jones and the Last Crusade,1989
121.,Ladri di biciclette,1948
122.,Spider-Man: No Way Home,2021
123.,1917,2019
124.,Taare Zameen Par,2007
125.,Der Untergang,2004
126.,Per qualche dollaro in più,1965
127.,Batman Begins,2005
128.,Dangal,2016
129.,The Kid,1921
130.,Some Like It Hot,1959
131.,Everything Everywhere All at Once,2022
132.,The Father,2020
133.,All About Eve,1950
134.,Green Book,2018
135.,The Wolf of Wall Street,2013
136.,Judgment at Nuremberg,1961
137.,Unforgiven,1992
138.,Ran,1985
139.,Casino,1995
140.,Pan's Labyrinth,2006
141.,There Will Be Blood,2007
142.,The Sixth Sense,1999
143.,A Beautiful Mind,2001
144.,Monty Python and the Holy Grail,1975
145.,The Truman Show,1998
146.,Yôjinbô,1961
147.,The Treasure of the Sierra Madre,1948
148.,Rashômon,1950
149.,Shutter Island,2010
150.,The Great Escape,1963
151.,Jurassic Park,1993
152.,Kill Bill: Vol. 1,2003
153.,No Country for Old Men,2007
154.,Finding Nemo,2003
155.,The Elephant Man,1980
156.,Raging Bull,1980
157.,Chinatown,1974
158.,Gone with the Wind,1939
159.,V for Vendetta,2005
160.,The Thing,1982
161.,Inside Out,2015
162.,"Lock, Stock and Two Smoking Barrels",1998
163.,Dial M for Murder,1954
164.,El secreto de sus ojos,2009
165.,The Bridge on the River Kwai,1957
166.,Hauru no ugoku shiro,2004
167.,"Three Billboards Outside Ebbing, Missouri",2017
168.,Trainspotting,1996
169.,Gran Torino,2008
170.,Warrior,2011
171.,Fargo,1996
172.,Tonari no Totoro,1988
173.,Prisoners,2013
174.,Million Dollar Baby,2004
175.,The Gold Rush,1925
176.,Blade Runner,1982
177.,Catch Me If You Can,2002
178.,On the Waterfront,1954
179.,The Third Man,1949
180.,Bacheha-Ye aseman,1997
181.,Ben-Hur,1959
182.,12 Years a Slave,2013
183.,The General,1926
184.,Smultronstället,1957
185.,Gone Girl,2014
186.,Before Sunrise,1995
187.,Harry Potter and the Deathly Hallows: Part 2,2011
188.,The Deer Hunter,1978
189.,In the Name of the Father,1993
190.,The Grand Budapest Hotel,2014
191.,Mr. Smith Goes to Washington,1939
192.,Le salaire de la peur,1953
193.,Barry Lyndon,1975
194.,Sherlock Jr.,1924
195.,Salinui chueok,2003
196.,Room,2015
197.,Hacksaw Ridge,2016
198.,Klaus,2019
199.,Det sjunde inseglet,1957
200.,Relatos salvajes,2014
201.,The Big Lebowski,1998
202.,How to Train Your Dragon,2010
203.,Mad Max: Fury Road,2015
204.,Mary and Max.,2009
205.,"Monsters, Inc.",2001
206.,Jaws,1975
207.,La passion de Jeanne d'Arc,1928
208.,Hotel Rwanda,2004
209.,Tôkyô monogatari,1953
210.,Dead Poets Society,1989
211.,Pather Panchali,1955
212.,Platoon,1986
213.,Rocky,1976
214.,Ford v Ferrari,2019
215.,Stand by Me,1986
216.,The Terminator,1984
217.,Rush,2013
218.,Spotlight,2015
219.,Into the Wild,2007
220.,Network,1976
